category,title,description,resource,region,statusWord,message
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,centraluseuap,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,australiaeast,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,southeastasia,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,centralindia,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,eastasia,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,japaneast,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,jioindiawest,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,koreacentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,australiacentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,australiacentral2,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,australiasoutheast,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,japanwest,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,koreasouth,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,jioindiacentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,southindia,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,westindia,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,westeurope,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,northeurope,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,swedencentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,uksouth,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,francecentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,germanywestcentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,germanycentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,germanynortheast,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,germanynorth,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,norwayeast,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,switzerlandnorth,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,francesouth,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,norwaywest,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,ukwest,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,switzerlandwest,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,southafricawest,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,southafricanorth,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,uaenorth,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,uaecentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,brazilsouth,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,brazilsoutheast,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,canadacentral,OK,No storage accounts found
